ZIPCODE,NAME,ZIPTYPE,STATE
15007,BAKERSTOWN,NON-UNIQUE,PA
15014,BRACKENRIDGE,NON-UNIQUE,PA
15015,BRADFORD WOODS,NON-UNIQUE,PA
15018,BUENA VISTA,NON-UNIQUE,PA
15034,DRAVOSBURG,NON-UNIQUE,PA
15030,CREIGHTON,NON-UNIQUE,PA
15035,EAST MCKEESPORT,NON-UNIQUE,PA
15046,CRESCENT,NON-UNIQUE,PA
15049,HARWICK,NON-UNIQUE,PA
15064,MORGAN,NON-UNIQUE,PA
15082,STURGEON,PO BOX,PA
15110,DUQUESNE,NON-UNIQUE,PA
15112,EAST PITTSBURGH,NON-UNIQUE,PA
15129,SOUTH PARK,NON-UNIQUE,PA
15131,MCKEESPORT,NON-UNIQUE,PA
15132,MCKEESPORT,NON-UNIQUE,PA
15133,MCKEESPORT,NON-UNIQUE,PA
15135,MCKEESPORT,NON-UNIQUE,PA
15137,NORTH VERSAILLES,NON-UNIQUE,PA
15144,SPRINGDALE,NON-UNIQUE,PA
15148,WILMERDING,NON-UNIQUE,PA
15203,PITTSBURGH,NON-UNIQUE,PA
15211,PITTSBURGH,NON-UNIQUE,PA
15213,PITTSBURGH,NON-UNIQUE,PA
15224,PITTSBURGH,NON-UNIQUE,PA
15225,PITTSBURGH,NON-UNIQUE,PA
15232,PITTSBURGH,NON-UNIQUE,PA
15239,PITTSBURGH,NON-UNIQUE,PA
15261,PITTSBURGH,UNIQUE,PA
15275,PITTSBURGH,UNIQUE,PA
15290,PITTSBURGH,UNIQUE,PA
15006,BAIRDFORD,PO BOX,PA
15051,INDIANOLA,NON-UNIQUE,PA
15223,PITTSBURGH,NON-UNIQUE,PA
15227,PITTSBURGH,NON-UNIQUE,PA
15282,PITTSBURGH,UNIQUE,PA
15276,PITTSBURGH,UNIQUE,PA
15083,SUTERSVILLE,NON-UNIQUE,PA
15088,WEST ELIZABETH,NON-UNIQUE,PA
15116,GLENSHAW,NON-UNIQUE,PA
15122,WEST MIFFLIN,NON-UNIQUE,PA
15204,PITTSBURGH,NON-UNIQUE,PA
15216,PITTSBURGH,NON-UNIQUE,PA
15102,BETHEL PARK,NON-UNIQUE,PA
15234,PITTSBURGH,NON-UNIQUE,PA
15017,BRIDGEVILLE,NON-UNIQUE,PA
15215,PITTSBURGH,NON-UNIQUE,PA
15139,OAKMONT,NON-UNIQUE,PA
15028,COULTERS,PO BOX,PA
15145,TURTLE CREEK,NON-UNIQUE,PA
15104,BRADDOCK,NON-UNIQUE,PA
15086,WARRENDALE,NON-UNIQUE,PA
15142,PRESTO,NON-UNIQUE,PA
16056,SAXONBURG,NON-UNIQUE,PA
15068,NEW KENSINGTON,NON-UNIQUE,PA
15005,BADEN,NON-UNIQUE,PA
15668,MURRYSVILLE,NON-UNIQUE,PA
15642,IRWIN,NON-UNIQUE,PA
15085,TRAFFORD,NON-UNIQUE,PA
15089,WEST NEWTON,NON-UNIQUE,PA
15321,CECIL,NON-UNIQUE,PA
15241,PITTSBURGH,NON-UNIQUE,PA
15332,FINLEYVILLE,NON-UNIQUE,PA
15063,MONONGAHELA,NON-UNIQUE,PA
15226,PITTSBURGH,NON-UNIQUE,PA
15207,PITTSBURGH,NON-UNIQUE,PA
15075,RURAL RIDGE,PO BOX,PA
15076,RUSSELLTON,NON-UNIQUE,PA
15209,PITTSBURGH,NON-UNIQUE,PA
16059,VALENCIA,NON-UNIQUE,PA
15243,PITTSBURGH,NON-UNIQUE,PA
15231,PITTSBURGH,UNIQUE,PA
15136,MCKEES ROCKS,NON-UNIQUE,PA
15056,LEETSDALE,NON-UNIQUE,PA
15045,GLASSPORT,NON-UNIQUE,PA
15090,WEXFORD,NON-UNIQUE,PA
15084,TARENTUM,NON-UNIQUE,PA
15147,VERONA,NON-UNIQUE,PA
15238,PITTSBURGH,NON-UNIQUE,PA
15220,PITTSBURGH,NON-UNIQUE,PA
15217,PITTSBURGH,NON-UNIQUE,PA
